SAMPLE_NUMBER,Assay Date,Compartment Temp,Reagent-A ID,Reagent-A ID Exp Date,Reagent-B Exp Date,Reagent-B ID,Material-A ID,Reagent-C Lot,Reagent-D Lot,Reagent-E Lot,Reagent-F Concentration,Reagent-F Expiration,Reagent-F Lot,SOP Version,Agg%,INSTRUMENT,Main%,Lab_Site,Chemist
733173,07/22/2013,4.9,13-007-0063,10/19/2013,,,T04260-10S,C200,13-006-0059,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.7168685951,029,90.365326169,Stat,ChemistE
736224,07/24/2013,4.9,13R0020,10/06/2013,,,S1871-09R,C200,13R0019,12-018-0008,1.0,01/31/2014,0R1860,11,5.9079445558,081,90.299198715,Park,ChemistP
738302,07/30/2013,5.2,13-007-0063,10/19/2013,,,T04260-10S,C200,13-007-0060,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.2416526869,034,90.96532030899999,Stat,ChemistE
744865,08/08/2013,4.9,13R1514,11/04/2013,,,S1871-09R,C200,13R0964,12-018-0008,1.0,01/31/2014,0R1860,11,5.9525341333,047,90.245271945,Park,ChemistF
748705,08/15/2013,5.2, assay comments,see assay comments,,,T04260-10S,C200,13-008-0077,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.5279674059,029,90.60684750200001,Stat,ChemistB
752720,08/21/2013,4.9,13R1514,11/04/2013,,,S1871-09R,C200,13R0964,12-018-0008,1.0,01/31/2014,0R1860,11,5.943281778999999,081,90.262204776,Park,ChemistF
754003,08/26/2013,4.9,13-007-0109,11/23/2013,,,T04260-10S,C200,13-008-0077,12-018-0008,1.0,01/31/2014,0R1860,11.0,5.3155349614,028,90.84140156,Stat,ChemistB
757234,08/30/2013,4.9,13R1069,09/11/2013,,,S1871-09R,C200,13R0797,12-018-0008,1.0,01/31/2014,0R1860,11,5.787158303200001,071,90.377315232,Park,ChemistF
761127,09/06/2013,4.9,13-009-0141,12/03/2013,,,T04260-10S,C200,13-007-0111,12-018-0008,1.0,01/31/2014,0R1860,11.0,,028,90.67480709200001,Stat,ChemistE
762169,09/10/2013,5.2,13-009-0141,12/03/2013,,,T05189-25S,,13-007-0111,12-018-0008,1.0,01/31/2014,0R1860,11.0,,028,,Stat,ChemistE
762234,09/10/2013,5.2,13-009-0141,12/03/2013,,,T05189-25S,,13-007-0111,12-018-0008,1.0,01/31/2014,0R1860,11.0,6.230285684,028,89.912894149,Stat,ChemistE
764576,09/11/2013,5.2,13-007-0109,11/23/2013,,,T05189-25S,C200,13-007-0111,12-018-0008,1.0,01/31/2014,0R1860,11.0,6.244059657899999,028,90.083485915,Stat,ChemistB
776662,10/02/2013,5.0,13-008-0108,01/01/2014,,,T05189-25S,C200,13-007-0111,12-018-0008,1.0,01/31/2014,0R1860,12.0,6.296898688200001,041,89.820527771,Stat,ChemistB
777574,10/04/2013,5.0,13-008-0108,01/01/2014,,,T05189-25S,C200,13-007-0111,12-018-0008,1.0,01/31/2014,0R1860,12.0,6.1259564536,041,90.105879309,Stat,ChemistB
782453,10/11/2013,4.9,13-008-0124,01/11/2014,,,T05189-25S,C200,13-007-0111,12-018-0008,1.0,01/31/2014,0R1860,12.0,5.957372663999999,041,90.31631159,Stat,ChemistG
783664,10/15/2013,5.0,13-008-0124,01/11/2014,,,T05189-25S,C200,13-007-0111,12-018-0008,1.0,01/31/2014,0R1860,12.0,6.0862904896000005,041,89.98155786,Stat,ChemistG
801145,10/28/2013,5.0,13-008-0131,01/28/2014,,,T05189-25S,,13-007-0111,12-018-0008,1.0,01/31/2014,0R1860,12.0,5.9123115464,041,90.25044749999999,Stat,ChemistG
821140,11/01/2013,5.0,13-008-0143,01/16/2014,,,T05189-25S,,13-007-0158,12-018-0008,1.0,01/31/2014,0R1860,12.0,6.1864924385,039,89.97079664600001,Stat,ChemistG
831192,11/15/2013,4.9,13-008-0143,01/16/2014,,,T05189-25S,,13-008-0157,12-018-0008,1.0,01/31/2014,0R1860,12.0,,037,90.213348368,Stat,ChemistG
835683,,,,,,,,C200,,,,,,,,nan,,Stat,
836353,11/25/2013,5.2,13-028-0011,02/18/2014,,,W04129-16T,C200,13-008-0157,12-018-0008,1.0,01/31/2014,0R1860,12.0,6.0067799138,026,90.099280904,Stat,ChemistG
842793,12/05/2013,4.9,13-008-0187,03/03/2014,,,W04129,C200,13-008-0186,12-018-0008,1.0,01/31/2014,0R1860,12.0,6.1259628618,037,89.800106325,Stat,ChemistE
844406,12/10/2013,4.7,13-008-0187,03/03/2014,,,W04129-16T,C200,13-027-0027,12-018-0008,1.0,01/31/2014,0R1860,12.0,5.995327591100001,037,89.87406159999999,Stat,ChemistE
858619,01/06/2014,4.9,13-028-0033,04/03/2014,,,W04129-16T,C200,13-008-0186,12-018-0008,1.0,01/31/2014,0R1860,12.0,6.1779933275,029,89.85843230100001,Stat,ChemistE
859364,01/07/2014,5.2,13-028-0033,04/03/2014,,,W04129-16T,C200,13-008-0186,12-018-0008,1.0,01/31/2014,0R1860,12.0,5.9699984896,029,90.16245145299999,Stat,ChemistG
861722,01/08/2014,5.2,13-027-0063,03/03/2014,,,W04129-16T,C200,13-008-0186,12-018-0008,1.0,01/31/2014,0R1860,12.0,5.9450265914,029,90.14308741100001,Stat,ChemistG
870653,01/28/2014,5.2,13-025-0040,04/14/2014,,,W04129-16T,C200,13-026-0026,12-018-0008,1.0,01/31/2015,0R1860,12.0,5.868260150399999,028,90.22574984299999,Stat,ChemistE
874850,,,,,,,,,,,,,,,,nan,,Park,
877645,02/06/2014,4.9,13-027-0088,05/04/2014,,,W04129-16T,C200,13-008-0186,12-018-0008,1.0,01/31/2015,0R1860,12.0,5.802156194199999,034,90.365247401,Stat,ChemistO
879366,02/11/2014,4.9,13-027-0088,05/04/2014,,,W04129-16T,C200,13-024-0068,12-018-0008,1.0,01/31/2015,0R1860,12.0,5.9004624866999995,038,90.21656161700001,Stat,ChemistG
886584,02/19/2014,4.9,13-027-0103,04/14/2014,,,W04129-16T,C200,13-024-0068,12-018-0008,1.0,01/31/2015,0R1860,12.0,5.7533548442999995,038,90.34304457200001,Stat,ChemistG
886600,,,,,,,,,,,,,,,,nan,,Stat,
894540,03/05/2014,4.9,13-025-0092,06/04/2014,,,W04128-16T,C200,13-024-0068,12-018-0008,1.0,01/31/2015,0R1860,12.0,5.9673607475,034,90.200613966,Stat,ChemistG
894952,03/06/2014,4.9,13-025-0092,06/04/2014,,,W04128-16T,C200,13-024-0068,12-018-0008,1.0,01/31/2015,0R1860,12.0,5.9364215357,034,90.209525134,Stat,ChemistG
896267,03/10/2014,5.2,13-024-0093,06/10/2014,,,W04128-16T,C200,13-024-0084,12-018-0008,1.0,01/31/2015,0R1860,12.0,5.9907205399,038,90.160536366,Stat,ChemistB
