Sample-Number,Measure F,Measure E,Measure D,Measure C,Measure G,Measure B,Measure A,Measure H
1518814,0.1,0.7,14.1,274,0.018,99.9,6.1,143
1519391,0.1,0.8,13.4,277,0.021,99.9,6.0,158
1522458,0.2,0.8,13.9,276,0.015,99.9,6.0,155
1662528,0.2,0.8,14.0,284,0.020,99.5,6.0,154
1662539,0.2,0.9,13.8,281,0.020,98.8,6.1,148
1664739,0.2,0.7,13.5,278,0.020,99.4,6.0,149
1664830,0.1,1.0,13.6,280,0.020,99.2,6.0,147
1685697,0.2,1.2,11.7,281,0.018,100.0,6.0,140
1685806,0.1,1.1,12.0,282,0.016,99.7,6.0,142
1685825,0.1,0.9,12.7,281,0.019,99.9,6.0,158
1685835,0.3,0.7,11.6,277,0.019,100.0,6.0,149
1721472,0.2,0.8,14.9,285,0.019,99.6,6.0,155
1726484,0.3,0.9,14.6,292,0.019,99.5,6.0,159
1726494,0.1,1.0,14.1,280,0.019,99.8,6.1,156
1739260,0.1,1.0,13.0,278,0.023,100.0,6.0,144
1742009,0.1,1.1,13.3,279,0.021,99.6,6.0,157
1742213,0.2,0.9,12.4,281,0.020,99.3,6.0,154
1744514,0.3,1.0,14.1,279,0.020,99.5,6.0,159
1744537,0.3,1.0,13.0,280,0.019,99.0,6.0,140
1756255,0.1,1.2,13.6,281,0.019,99.4,6.1,143
1756274,0.2,1.1,13.5,279,0.019,99.7,6.1,150
1771793,0.2,0.9,14.1,284,0.019,99.3,6.0,147
1771804,0.1,0.8,13.8,287,0.019,99.7,6.0,156
1784713,0.3,1.0,14.5,278,0.019,99.6,6.0,159
1785771,0.2,0.7,13.6,281,0.020,99.6,6.0,151
1830731,0.2,1.0,14.0,281,0.017,100.0,6.1,145
1837998,0.1,0.8,14.6,279,0.019,98.8,6.0,157
1858177,0.1,1.0,13.8,282,0.021,99.9,6.1,154
1867586,0.3,1.0,13.0,279,0.019,99.6,6.1,146
1870545,0.2,1.0,12.8,284,0.018,99.7,6.1,144
1871506,0.1,1.3,12.6,280,0.019,99.7,6.1,153
1879333,0.3,1.2,11.9,282,0.018,99.5,6.1,156
1881709,0.1,0.8,12.6,282,0.019,100.0,6.0,153
1895023,0.1,1.6,12.8,279,0.018,99.7,6.0,153
1895060,0.2,1.2,13.3,285,0.018,99.4,5.9,153
1895218,0.1,1.3,13.4,283,0.020,99.9,6.0,152
1895228,0.2,1.2,13.2,281,0.019,99.4,6.0,151
