,TIMEPOINT,NAME,ENTRY,CONDITION,PRODUCT,Sample-Number,Lot
164,09M,Deamidation,,5C,Lumab,71132,39477/2
165,12M,Deamidation,4.032022612,5C,Lumab,71133,39465
166,12M,Deamidation,,5C,Lumab,71133,39465
167,03M,Deamidation,4.532939934,5C,Lumab,87394,39511
168,36M,Deamidation,6.9,5C,Lumab,87397,39346
169,36M,Deamidation,5.036388064,5C,Lumab,87401,39347
170,13M,Deamidation,4.6,5C,Lumab,202189,39499/2
171,00M,Deamidation,2.5,5C,Lumab,185589,42355
172,03M,Deamidation,4.2,5C,Lumab,185592,42355
173,06M,Deamidation,3.5,5C,Lumab,185595,42355
174,09M,Deamidation,4.5,5C,Lumab,185598,42355
175,12M,Deamidation,4.4,5C,Lumab,185601,42355
176,18M,Deamidation,4.4,5C,Lumab,185604,42355
177,24M,Deamidation,4.9,5C,Lumab,185607,42355
178,30M,Deamidation,5.8,5C,Lumab,185610,42355
179,36M,Deamidation,5.7,5C,Lumab,185613,42355
180,00M,Deamidation,2.5,25_60,Lumab,185616,42355
181,03M,Deamidation,4.6,25_60,Lumab,185619,42355
182,06M,Deamidation,4.5,25_60,Lumab,185622,42355
183,12M,Deamidation,,5C,Lumab,314253,39551
184,12M,Deamidation,,5C,Lumab,314256,39557
185,00M,Deamidation,<3.3,25_60,Lumab,10645,39289
186,36M,Deamidation,5.543511271,5C,Lumab,10945,39289
187,18M,Deamidation,3.799562561,5C,Lumab,13204,39365
188,00M,Deamidation,3.4,5C,Lumab,26334,39465
189,00M,Deamidation,<3.3,5C,Lumab,26338,39445
190,00M,Deamidation,<3.3,5C,Lumab,26342,39365
191,03M,Deamidation,<3.3,5C,Lumab,26344,39365
192,06M,Deamidation,3.4,5C,Lumab,26347,39365
193,09M,Deamidation,3.3,5C,Lumab,26350,39365
194,12M,Deamidation,4.4,5C,Lumab,26353,39365
195,00M,Deamidation,<3.3,5C,Lumab,26475,42485
196,03M,Deamidation,,5C,Lumab,26478,42485
197,06M,Deamidation,,5C,Lumab,26480,42485
198,09M,Deamidation,<3.3,5C,Lumab,26483,42485
199,12M,Deamidation,<3.3,5C,Lumab,26486,42485
200,18M,Deamidation,4.3,5C,Lumab,26490,42485
201,00M,Deamidation,<3.3,5C,Lumab,26492,42483
202,03M,Deamidation,<3.3,5C,Lumab,26495,42483
203,06M,Deamidation,<3.3,5C,Lumab,26498,42483
204,09M,Deamidation,4.1,5C,Lumab,26501,42483
205,12M,Deamidation,3.6,5C,Lumab,26504,42483
206,18M,Deamidation,3.9,5C,Lumab,26507,42483
207,24M,Deamidation,5.2,5C,Lumab,26510,42483
208,00M,Deamidation,<3.3,5C,Lumab,26516,42466
209,03M,Deamidation,3.7,5C,Lumab,26519,42466
210,06M,Deamidation,3.6,5C,Lumab,26522,42466
211,09M,Deamidation,4.4,5C,Lumab,26525,42466
212,12M,Deamidation,4.3,5C,Lumab,26528,42466
213,18M,Deamidation,5.3,5C,Lumab,26531,42466
214,24M,Deamidation,6.6,5C,Lumab,26534,42466
215,30M,Deamidation,6.3,5C,Lumab,26537,42466
216,18M,Deamidation,4.15942143,5C,Lumab,40379,39404
217,18M,Deamidation,4.722649947,5C,Lumab,40382,39408
218,30M,Deamidation,5.249962144,5C,Lumab,42495,39352
219,30M,Deamidation,,5C,Lumab,42497,39351
220,04M,Deamidation,3.346346121,5C,Lumab,86304,39499/2
221,31M,Deamidation,4.680647376,5C,Lumab,86305,42485
222,34M,Deamidation,5.118817879,5C,Lumab,86306,39351
223,37M,Deamidation,5.90583499,5C,Lumab,86307,42483
224,36M,Deamidation,7,5C,Lumab,97699,39351
225,36M,Deamidation,6.074899564,5C,Lumab,97702,39352
226,06M,Deamidation,3.080403552,5C,Lumab,97375,39499/2
227,24M,Deamidation,4.459178379,5C,Lumab,177177,39445
228,30M,Deamidation,,5C,Lumab,166458,39404
229,30M,Deamidation,,5C,Lumab,168391,39408
230,03M,Deamidation,3.579997094,5C,Lumab,176156,39551
231,03M,Deamidation,2.996595996,5C,Lumab,176157,39557
232,37M,Deamidation,,5C,Lumab,198810,39362
233,04M,Deamidation,3.6,5C,Lumab,198812,39551
234,00M,Deamidation,<3.3,5C,Lumab,198814,39551
235,00M,Deamidation,<3.3,5C,Lumab,198817,39557
236,00M,Deamidation,3.5,5C,Lumab,286067,39590
237,06M,Deamidation,6.1,5C,Lumab,286068,39590
238,06M,Deamidation,6.6,5C,Lumab,286068,39590
239,00M,Deamidation,4.7,5C,Lumab,289410,39569A
240,09M,Deamidation,7.142644532,5C,Lumab,289411,39569A
241,09M,Deamidation,4.785527606,5C,Lumab,22941,39445
242,06M,Deamidation,4.318242181,5C,Lumab,22943,39465
243,03M,Deamidation,,5C,Lumab,22946,39477/2
244,00M,Deamidation,<3.3,5C,Lumab,24563,39362
245,03M,Deamidation,<3.3,5C,Lumab,24566,39362
246,06M,Deamidation,3.7,5C,Lumab,24569,39362
247,09M,Deamidation,4,5C,Lumab,24572,39362
248,09M,Deamidation,,5C,Lumab,24576,39362
249,12M,Deamidation,4.4,5C,Lumab,24578,39362
250,12M,Deamidation,,5C,Lumab,24582,39362
251,18M,Deamidation,,5C,Lumab,24584,39362
